"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-112314","Neurotransmitter receptors and postsynaptic signal transmission","18/349","205/11146",0.0878048780487805,2.80422111957509,4.68747951626777,7.72568302171207e-05,0.00289916420762143,0.00253385282484961,"107/111/55584/1146/2556/2562/2567/55879/200959/8001/346562/94235/2890/83988/5567/53632/5923/113457",18
"R-HSA-977443","GABA receptor activation","9/349","60/11146",0.15,4.79054441260745,5.29286694702626,9.41509547655642e-05,0.00335648153739236,0.00293354553795863,"107/111/2556/2562/2567/55879/200959/346562/94235",9
"R-HSA-163685","Integration of energy metabolism","12/349","108/11146",0.111111111111111,3.54855141674626,4.78477237429039,0.000137496188823238,0.00466832298242708,0.00408008740768706,"32/107/111/9370/783/948/1131/2740/94235/5207/5567/6616",12
"R-HSA-9748784","Drug ADME","12/349","110/11146",0.109090909090909,3.48403230007815,4.70705133333923,0.000163983492359107,0.00529605314660314,0.00462871995687467,"1244/54988/124/1645/590/10249/3290/5105/866/7365/10720/54490",12
"R-HSA-8963901","Chylomicron remodeling","4/349","10/11146",0.4,12.7747851002865,6.69714308393219,0.000170840424083972,0.00529605314660314,0.00462871995687467,"336/338/338328/4023",4
"R-HSA-211999","CYP2E1 reactions","4/349","11/11146",0.363636363636364,11.6134410002605,6.33152959372857,0.000261853252326294,0.007779223704527,0.0067989967270687,"1553/1548/1549/1555",4
"R-HSA-2173782","Binding and Uptake of Ligands by Scavenger Receptors","7/349","42/11146",0.166666666666667,5.32282712511939,5.04607830700956,0.000291260412585684,0.0083067469669437,0.00726004902108315,"338/948/3040/3043/8685/6288/286133",7
"R-HSA-9749641","Aspirin ADME","7/349","44/11146",0.159090909090909,5.08088043761396,4.87619199150859,0.00039208905999116,0.0104510929069874,0.0091341950261114,"1244/54988/590/10249/7365/10720/54490",7
"R-HSA-5260271","Diseases of Immune System","6/349","32/11146",0.1875,5.98818051575931,5.08022741483598,0.000410421600835411,0.0104510929069874,0.0091341950261114,"948/2243/2244/2266/6279/6280",6
"R-HSA-5602358","Diseases associated with the TLR signaling cascade","6/349","32/11146",0.1875,5.98818051575931,5.08022741483598,0.000410421600835411,0.0104510929069874,0.0091341950261114,"948/2243/2244/2266/6279/6280",6
"R-HSA-418555","G alpha (s) signalling events","14/349","158/11146",0.0886075949367089,2.82985745892423,4.16473792747863,0.00043586445680673,0.0107162537139034,0.009365944044631,"107/111/153/2740/9340/346562/94235/2852/10888/5140/5443/5567/10268/6344",14
"R-HSA-174824","Plasma lipoprotein assembly, remodeling, and clearance","9/349","75/11146",0.12,3.83243553008596,4.42484883969448,0.000529854255684212,0.0125928694767614,0.0110060954163177,"27329/55908/336/338/63924/84699/338328/4023/5567",9
"R-HSA-2453902","The canonical retinoid cycle in rods (twilight vision)","5/349","23/11146",0.217391304347826,6.94281798928616,5.12916391134399,0.000617800020182336,0.0142094004641937,0.0124189341917807,"10170/4647/5950/8608/5959",5
"R-HSA-6809371","Formation of the cornified envelope","12/349","129/11146",0.0930232558139535,2.97088025588059,4.04785193703012,0.000717286149770956,0.0159820320245841,0.0139682039692239,"1828/25818/3848/3860/54474/3881/3853/338785/3887/3892/5266/6699",12
"R-HSA-500792","GPCR ligand binding","28/349","468/11146",0.0598290598290598,1.91075845517106,3.61894830329282,0.000771251979216805,0.0166637170055025,0.0145639927175869,"153/183/185/6364/1131/1393/6374/2740/9340/94235/2852/2847/10316/283869/4922/4986/5020/5179/5443/84432/128674/5731/10268/6288/6344/6753/6866/7200",28
"R-HSA-373076","Class A/1 (Rhodopsin-like receptors)","22/349","334/11146",0.0658682634730539,2.10363227699329,3.68167804362646,0.000819604848729699,0.017187595798361,0.0150218597661914,"153/183/185/6364/1131/6374/2852/2847/10316/283869/4922/4986/5020/5179/5443/84432/128674/5731/6288/6753/6866/7200",22
"R-HSA-8979227","Triglyceride metabolism","6/349","37/11146",0.162162162162162,5.17896693254859,4.57755438226022,0.00092296953226615,0.0188022079001647,0.0164330214466635,"2167/2172/2173/3991/5346/5567",6
"R-HSA-381340","Transcriptional regulation of white adipocyte differentiation","9/349","84/11146",0.107142857142857,3.42181743757675,4.00558006544116,0.00121412736076567,0.0240464668951646,0.0210164736132537,"9370/948/2167/3952/4023/5105/5346/5468/10891",9
"R-HSA-2187338","Visual phototransduction","10/349","104/11146",0.0961538461538462,3.07086180295349,3.8145658380883,0.00152602224977924,0.0294068611916918,0.025701427364703,"1645/336/338/10170/338328/4023/4647/5950/8608/5959",10
"R-HSA-2980736","Peptide hormone metabolism","9/349","88/11146",0.102272727272727,3.26628028132326,3.83723027688351,0.00168941323779545,0.0316987273302147,0.0277045051738201,"183/590/1360/346562/3623/3798/3952/5122/5443",9
"R-HSA-9615017","FOXO-mediated transcription of oxidative stress, metabolic and neuronal genes","5/349","29/11146",0.172413793103448,5.50637288805454,4.36851187586242,0.00186903996721913,0.0341698845289036,0.0298642823372126,"3484/5105/5443/10891/56729",5
"R-HSA-5083625","Defective GALNT3 causes HFTC","4/349","18/11146",0.222222222222222,7.09710283349252,4.65427899672926,0.00204076696494901,0.035099715888726,0.0306769495919773,"283463/4583/4588/118430",4
"R-HSA-5083636","Defective GALNT12 causes CRCS1","4/349","18/11146",0.222222222222222,7.09710283349252,4.65427899672926,0.00204076696494901,0.035099715888726,0.0306769495919773,"283463/4583/4588/118430",4
"R-HSA-5362517","Signaling by Retinoic Acid","6/349","43/11146",0.13953488372093,4.45632038382088,4.08252873025296,0.00206758494716198,0.035099715888726,0.0306769495919773,"124/126/127/10170/8608/5959",6
"R-HSA-9843745","Adipogenesis","10/349","109/11146",0.0917431192660551,2.92999658263453,3.64036949868776,0.00217261206461175,0.0360249395829808,0.0314855897735656,"9370/948/1149/2167/3952/4023/5105/5346/5468/10891",10
"R-HSA-975634","Retinoid metabolism and transport","6/349","44/11146",0.136363636363636,4.35504037509768,4.00889495743342,0.00233213692934684,0.037791218877825,0.033029307707496,"1645/336/338/338328/4023/5950",6
"R-HSA-5083632","Defective C1GALT1C1 causes TNPS","4/349","19/11146",0.210526315789474,6.72357110541397,4.48906649181234,0.00252185701580684,0.0399574233837839,0.0349225579732783,"283463/4583/4588/118430",4
"R-HSA-9634597","GPER1 signaling","6/349","45/11146",0.133333333333333,4.25826170009551,3.93742566873785,0.00262138453582659,0.0406314603053121,0.0355116623617698,"107/111/346562/94235/2852/5567",6
"R-HSA-1474244","Extracellular matrix organization","19/349","300/11146",0.0633333333333333,2.02267430754537,3.22822927745761,0.00284726434932407,0.0431936059801716,0.037750962929448,"650/84290/1302/57642/1297/2243/2244/2266/1404/3817/8785/4312/4321/9313/1463/9378/26577/7148/7448",19
"R-HSA-422356","Regulation of insulin secretion","8/349","78/11146",0.102564102564103,3.27558592315039,3.62582771135591,0.00296528811769612,0.0440468839149445,0.0384967229314935,"111/783/948/1131/2740/94235/5567/6616",8
"R-HSA-194002","Glucocorticoid biosynthesis","3/349","10/11146",0.3,9.5810888252149,4.88066484347109,0.00310008567063455,0.0442072216632486,0.0386368572003295,"3290/5443/866",3
"R-HSA-9757110","Prednisone ADME","3/349","10/11146",0.3,9.5810888252149,4.88066484347109,0.00310008567063455,0.0442072216632486,0.0386368572003295,"1645/3290/866",3
"R-HSA-6806667","Metabolism of fat-soluble vitamins","6/349","48/11146",0.125,3.99212034383954,3.73489601246925,0.00365144148327424,0.0510485838740104,0.0446161683818029,"1645/336/338/338328/4023/5950",6
"R-HSA-140875","Common Pathway of Fibrin Clot Formation","4/349","22/11146",0.181818181818182,5.80672050013024,4.05724206119352,0.00441993919706706,0.0606041662982464,0.0529676924020992,"2243/2244/2266/3053",4
"R-HSA-1296346","Tandem pore domain potassium channels","3/349","12/11146",0.25,7.98424068767908,4.35196517228379,0.00542485758716339,0.0720583664470023,0.0629785973818932,"3775/83795/3777",3
"R-HSA-445717","Aquaporin-mediated transport","6/349","52/11146",0.115384615384615,3.68503416354419,3.4890613516338,0.00545743588799176,0.0720583664470023,0.0629785973818932,"107/111/362/364/94235/5567",6
"R-HSA-1237044","Erythrocytes take up carbon dioxide and release oxygen","3/349","13/11146",0.230769230769231,7.37006832708838,4.13152953313756,0.0068903761990456,0.0872825710342121,0.0762844645342195,"762/3040/3043",3
"R-HSA-1480926","O2/CO2 exchange in erythrocytes","3/349","13/11146",0.230769230769231,7.37006832708838,4.13152953313756,0.0068903761990456,0.0872825710342121,0.0762844645342195,"762/3040/3043",3
"R-HSA-211981","Xenobiotics","4/349","25/11146",0.16,5.10991404011461,3.69855449259139,0.00710012499296536,0.0872825710342121,0.0762844645342195,"1553/1548/1549/1555",4
"R-HSA-977068","Termination of O-glycan biosynthesis","4/349","25/11146",0.16,5.10991404011461,3.69855449259139,0.00710012499296536,0.0872825710342121,0.0762844645342195,"283463/4583/4588/118430",4
"R-HSA-114608","Platelet degranulation","10/349","129/11146",0.0775193798449612,2.47573354656716,3.03090503707097,0.0072474233729146,0.0875832688964087,0.0765472727344415,"948/1675/7123/2243/2244/2266/5004/5005/29106/7018",10
"R-HSA-9725554","Differentiation of keratinocytes in interfollicular epidermis in mammalian skin","5/349","40/11146",0.125,3.99212034383954,3.40824979511161,0.00782306261490009,0.0914400597446519,0.0799180857294366,"51806/25818/3848/388533/653499",5
"R-HSA-9734767","Developmental Cell Lineages","5/349","40/11146",0.125,3.99212034383954,3.40824979511161,0.00782306261490009,0.0914400597446519,0.0799180857294366,"51806/25818/3848/388533/653499",5
"R-HSA-416476","G alpha (q) signalling events","14/349","216/11146",0.0648148148148148,2.06998832643532,2.85494031492807,0.00804917203342534,0.0925654783843914,0.0809016951407097,"183/185/1131/94235/2847/10316/4922/5020/84432/128674/5731/6288/6866/7200",14
"R-HSA-5576891","Cardiac conduction","10/349","132/11146",0.0757575757575758,2.41946687505427,2.94944899937956,0.0084743321114932,0.0939901284219155,0.0821468310707522,"477/491/783/30819/3775/83795/3777/4881/6323/10345",10
"R-HSA-170670","Adenylate cyclase inhibitory pathway","3/349","14/11146",0.214285714285714,6.8436348751535,3.9333418280491,0.00856852503145093,0.0939901284219155,0.0821468310707522,"107/111/346562",3
"R-HSA-209952","Peptide hormone biosynthesis","3/349","14/11146",0.214285714285714,6.8436348751535,3.9333418280491,0.00856852503145093,0.0939901284219155,0.0821468310707522,"3623/5122/5443",3
"R-HSA-76005","Response to elevated platelet cytosolic Ca2+","10/349","134/11146",0.0746268656716418,2.38335542915793,2.89637156989245,0.00937695079752914,0.101299483615731,0.0885351654248366,"948/1675/7123/2243/2244/2266/5004/5005/29106/7018",10
"R-HSA-9659379","Sensory processing of sound","7/349","76/11146",0.0921052631578947,2.94156235861861,3.05341284734879,0.00954376799518285,0.101562784784558,0.0887652891303731,"491/783/55584/4647/6616/6853/129446",7
"R-HSA-211935","Fatty acids","3/349","15/11146",0.2,6.38739255014327,3.7536896141675,0.0104655125920011,0.105740183805347,0.0924163118221979,"1553/1549/1555",3
"R-HSA-354194","GRB2:SOS provides linkage to MAPK signaling for Integrins","3/349","15/11146",0.2,6.38739255014327,3.7536896141675,0.0104655125920011,0.105740183805347,0.0924163118221979,"2243/2244/2266",3
"R-HSA-372708","p130Cas linkage to MAPK signaling for integrins","3/349","15/11146",0.2,6.38739255014327,3.7536896141675,0.0104655125920011,0.105740183805347,0.0924163118221979,"2243/2244/2266",3
"R-HSA-9660821","ADORA2B mediated anti-inflammatory cytokines production","5/349","43/11146",0.116279069767442,3.71360031985074,3.20524431706975,0.0106063077907625,0.105740183805347,0.0924163118221979,"107/111/346562/94235/5567",5
"R-HSA-5621480","Dectin-2 family","4/349","28/11146",0.142857142857143,4.56242325010233,3.39322295693803,0.0106778306226999,0.105740183805347,0.0924163118221979,"283463/4583/4588/118430",4
"R-HSA-5601884","PIWI-interacting RNA (piRNA) biogenesis","4/349","29/11146",0.137931034482759,4.40509831044363,3.3009279917965,0.0120872371275768,0.11805753523236,0.103181606049394,"84944/56165/91646/122402",4
"R-HSA-9006931","Signaling by Nuclear Receptors","17/349","298/11146",0.0570469798657718,1.82190727101402,2.58557604499459,0.0126191223244231,0.121586948882617,0.106266293258299,"124/126/127/27329/347/10170/2172/346562/94235/8354/8359/8366/8364/5105/5346/8608/5959",17
"R-HSA-913709","O-linked glycosylation of mucins","6/349","64/11146",0.09375,2.99409025787966,2.87625194286622,0.0147203241595398,0.137876752555606,0.120503487876163,"64409/11227/283463/4583/4588/118430",6
"R-HSA-164378","PKA activation in glucagon signalling","3/349","17/11146",0.176470588235294,5.63593460306759,3.43902148962091,0.0149347218925645,0.137876752555606,0.120503487876163,"107/111/5567",3
"R-HSA-264642","Acetylcholine Neurotransmitter Release Cycle","3/349","17/11146",0.176470588235294,5.63593460306759,3.43902148962091,0.0149347218925645,0.137876752555606,0.120503487876163,"8499/60482/6616",3
"R-HSA-201451","Signaling by BMP","4/349","31/11146",0.129032258064516,4.12089841944727,3.12828956397682,0.0152504469990706,0.137876752555606,0.120503487876163,"268/650/91851/3623",4
"R-HSA-9024446","NR1H2 and NR1H3-mediated signaling","5/349","47/11146",0.106382978723404,3.39754922879961,2.96125451407147,0.0152766668329494,0.137876752555606,0.120503487876163,"27329/347/2172/5105/5346",5
"R-HSA-211897","Cytochrome P450 - arranged by substrate type","6/349","66/11146",0.0909090909090909,2.90336025006512,2.78820230571346,0.0169411359295949,0.149123826145694,0.13033336543626,"1591/1553/1548/1549/1555/5443",6
"R-HSA-5625886","Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3","6/349","66/11146",0.0909090909090909,2.90336025006512,2.78820230571346,0.0169411359295949,0.149123826145694,0.13033336543626,"8354/8359/8366/8364/3817/354",6
"R-HSA-181429","Serotonin Neurotransmitter Release Cycle","3/349","18/11146",0.166666666666667,5.32282712511939,3.29986946987572,0.0175135128780876,0.15044740580815,0.131490166440429,"8499/6616/6853",3
"R-HSA-181430","Norepinephrine Neurotransmitter Release Cycle","3/349","18/11146",0.166666666666667,5.32282712511939,3.29986946987572,0.0175135128780876,0.15044740580815,0.131490166440429,"4128/8499/6616",3
"R-HSA-163359","Glucagon signaling in metabolic regulation","4/349","33/11146",0.121212121212121,3.87114700008683,2.96959990407776,0.0188908208124147,0.158460649873549,0.138493695615474,"107/111/94235/5567",4
"R-HSA-420092","Glucagon-type ligand receptors","4/349","33/11146",0.121212121212121,3.87114700008683,2.96959990407776,0.0188908208124147,0.158460649873549,0.138493695615474,"2740/9340/94235/6344",4
"R-HSA-3000480","Scavenging by Class A Receptors","3/349","19/11146",0.157894736842105,5.04267832906047,3.17072182557409,0.0203244483522652,0.161014796390723,0.140726004965392,"338/8685/286133",3
"R-HSA-422085","Synthesis, secretion, and deacylation of Ghrelin","3/349","19/11146",0.157894736842105,5.04267832906047,3.17072182557409,0.0203244483522652,0.161014796390723,0.140726004965392,"590/3952/5122",3
"R-HSA-442660","Na+/Cl- dependent neurotransmitter transporters","3/349","19/11146",0.157894736842105,5.04267832906047,3.17072182557409,0.0203244483522652,0.161014796390723,0.140726004965392,"6570/55117/6530",3
"R-HSA-5576886","Phase 4 - resting membrane potential","3/349","19/11146",0.157894736842105,5.04267832906047,3.17072182557409,0.0203244483522652,0.161014796390723,0.140726004965392,"3775/83795/3777",3
"R-HSA-8963898","Plasma lipoprotein assembly","3/349","19/11146",0.157894736842105,5.04267832906047,3.17072182557409,0.0203244483522652,0.161014796390723,0.140726004965392,"336/338/5567",3
"R-HSA-9662360","Sensory processing of sound by inner hair cells of the cochlea","6/349","69/11146",0.0869565217391304,2.77712719571446,2.66215402969511,0.0206886064883939,0.162098642046427,0.141673279827983,"491/783/4647/6616/6853/129446",6
"R-HSA-112310","Neurotransmitter release cycle","5/349","51/11146",0.0980392156862745,3.13107477948199,2.74234015780783,0.0211531519960828,0.163936927969642,0.143279931140515,"4128/8499/60482/6616/6853",5
"R-HSA-418594","G alpha (i) signalling events","17/349","318/11146",0.0534591194968553,1.70732190805716,2.30068809618997,0.0223980077763864,0.171718059618962,0.150080595400348,"107/111/183/6364/6374/346562/94235/2852/2847/10316/283869/4986/5179/5443/5567/6288/6753",17
"R-HSA-163615","PKA activation","3/349","20/11146",0.15,4.79054441260745,3.05034006267435,0.0233683913398845,0.176342970732465,0.154122741084549,"107/111/5567",3
"R-HSA-196854","Metabolism of vitamins and cofactors","12/349","200/11146",0.06,1.91621776504298,2.35064574439922,0.0234959077413523,0.176342970732465,0.154122741084549,"32/1645/10840/336/338/5169/338328/4023/23057/5950/80704/160728",12
"R-HSA-163125","Post-translational modification: synthesis of GPI-anchored proteins","7/349","92/11146",0.0760869565217391,2.42998629625016,2.47609474428691,0.0251197447521483,0.185854030010054,0.162435352131028,"419/53942/2215/338328/10232/22854/8000",7
"R-HSA-196071","Metabolism of steroid hormones","4/349","36/11146",0.111111111111111,3.54855141674626,2.75352370696777,0.0252844893562065,0.185854030010054,0.162435352131028,"441282/3290/5443/866",4
"R-HSA-381771","Synthesis, secretion, and inactivation of Glucagon-like Peptide-1 (GLP-1)","3/349","21/11146",0.142857142857143,4.56242325010233,2.93769262713112,0.0266453707281578,0.19385866662425,0.16943135844328,"346562/3952/5122",3
"R-HSA-168179","Toll Like Receptor TLR1:TLR2 Cascade","8/349","116/11146",0.0689655172413793,2.20254915522182,2.34069741310419,0.0291211812631824,0.20763402240649,0.181470940082147,"948/2243/2244/2266/6279/6280/6288/653509",8
"R-HSA-181438","Toll Like Receptor 2 (TLR2) Cascade","8/349","116/11146",0.0689655172413793,2.20254915522182,2.34069741310419,0.0291211812631824,0.20763402240649,0.181470940082147,"948/2243/2244/2266/6279/6280/6288/653509",8
"R-HSA-111931","PKA-mediated phosphorylation of CREB","3/349","22/11146",0.136363636363636,4.35504037509768,2.83191230413334,0.0301546493909616,0.212873911047085,0.186050572584151,"107/111/5567",3
"R-HSA-3000178","ECM proteoglycans","6/349","76/11146",0.0789473684210526,2.52133916453024,2.39254563703869,0.0315221640452968,0.220346107493104,0.192581229255064,"1297/1404/8785/1463/7148/7448",6
"R-HSA-140877","Formation of Fibrin Clot (Clotting Cascade)","4/349","39/11146",0.102564102564103,3.27558592315039,2.55934218631014,0.032835777702615,0.227300092252083,0.198658971895228,"2243/2244/2266/3053",4
"R-HSA-212676","Dopamine Neurotransmitter Release Cycle","3/349","23/11146",0.130434782608696,4.1656907935717,2.73226388594348,0.0338947883670915,0.232374847170541,0.20309427847488,"8499/6616/6853",3
"R-HSA-112311","Neurotransmitter clearance","2/349","10/11146",0.2,6.38739255014327,3.06418660301,0.0372570268200734,0.245965371506596,0.214972318493991,"590/4128",2
"R-HSA-170660","Adenylate cyclase activating pathway","2/349","10/11146",0.2,6.38739255014327,3.06418660301,0.0372570268200734,0.245965371506596,0.214972318493991,"107/111",2
"R-HSA-2151209","Activation of PPARGC1A (PGC-1alpha) by phosphorylation","2/349","10/11146",0.2,6.38739255014327,3.06418660301,0.0372570268200734,0.245965371506596,0.214972318493991,"10891/53632",2
"R-HSA-8963888","Chylomicron assembly","2/349","10/11146",0.2,6.38739255014327,3.06418660301,0.0372570268200734,0.245965371506596,0.214972318493991,"336/338",2
"R-HSA-400508","Incretin synthesis, secretion, and inactivation","3/349","24/11146",0.125,3.99212034383954,2.63811930312843,0.0378637072873567,0.247677277943902,0.216468514863497,"346562/3952/5122",3
"R-HSA-438064","Post NMDA receptor activation events","6/349","80/11146",0.075,2.39527220630372,2.25169624184118,0.0391158724566388,0.253541973287123,0.221594224826126,"107/2890/5567/53632/5923/113457",6
"R-HSA-6805567","Keratinization","12/349","217/11146",0.0552995391705069,1.76609932262026,2.04892438645293,0.040366309151322,0.259289895719753,0.226617875937246,"1828/25818/3848/3860/54474/3881/3853/338785/3887/3892/5266/6699",12
"R-HSA-166016","Toll Like Receptor 4 (TLR4) Cascade","9/349","147/11146",0.0612244897959184,1.95532425004386,2.09620652067615,0.0414327741447683,0.259992388343138,0.22723185044532,"948/2243/2244/2266/3929/6279/6280/6288/653509",9
"R-HSA-381676","Glucagon-like Peptide-1 (GLP1) regulates insulin secretion","4/349","42/11146",0.0952380952380952,3.04161550006822,2.38319770556733,0.0415696104784259,0.259992388343138,0.22723185044532,"111/2740/94235/5567",4
"R-HSA-419037","NCAM1 interactions","4/349","42/11146",0.0952380952380952,3.04161550006822,2.38319770556733,0.0415696104784259,0.259992388343138,0.22723185044532,"783/1297/2668/1463",4
"R-HSA-156588","Glucuronidation","3/349","25/11146",0.12,3.83243553008596,2.54893826306955,0.0420587412365919,0.260764195666869,0.227906405602402,"7365/10720/54490",3
"R-HSA-168898","Toll-like Receptor Cascades","10/349","172/11146",0.0581395348837209,1.85680015992537,2.03592832052701,0.0439997527821734,0.268095991777377,0.234314353188466,"338/948/2243/2244/2266/3929/6279/6280/6288/653509",10
"R-HSA-432040","Vasopressin regulates renal water homeostasis via Aquaporins","4/349","43/11146",0.0930232558139535,2.97088025588059,2.32795990388655,0.0447453338310069,0.268095991777377,0.234314353188466,"107/111/94235/5567",4
"R-HSA-977444","GABA B receptor activation","4/349","43/11146",0.0930232558139535,2.97088025588059,2.32795990388655,0.0447453338310069,0.268095991777377,0.234314353188466,"107/111/346562/94235",4
"R-HSA-991365","Activation of GABAB receptors","4/349","43/11146",0.0930232558139535,2.97088025588059,2.32795990388655,0.0447453338310069,0.268095991777377,0.234314353188466,"107/111/346562/94235",4
"R-HSA-425366","Transport of bile salts and organic acids, metal ions and amine compounds","6/349","84/11146",0.0714285714285714,2.28121162505117,2.11906796329432,0.047782657770066,0.283908624917142,0.248134503507711,"8170/6570/55244/60482/55117/6530",6
"R-HSA-1442490","Collagen degradation","5/349","64/11146",0.078125,2.49507521489971,2.1564786120358,0.0496231004675465,0.29240719531703,0.25556220510472,"1302/1297/4312/4321/9313",5
"R-HSA-425407","SLC-mediated transmembrane transport","13/349","250/11146",0.052,1.66072206303725,1.89957508805761,0.050937604258706,0.296294334846077,0.258959542671998,"347/6557/8170/6564/6570/55244/8671/159963/60482/160728/55117/6530/56301",13
"R-HSA-354192","Integrin signaling","3/349","27/11146",0.111111111111111,3.54855141674626,2.38365619829829,0.0511138894615252,0.296294334846077,0.258959542671998,"2243/2244/2266",3
"R-HSA-9614085","FOXO-mediated transcription","5/349","65/11146",0.0769230769230769,2.4566894423628,2.11755828367612,0.0524413794484417,0.296789956834232,0.259392713435986,"3484/5105/5443/10891/56729",5
"R-HSA-1475029","Reversible hydration of carbon dioxide","2/349","12/11146",0.166666666666667,5.32282712511939,2.693606067659,0.0524481550646749,0.296789956834232,0.259392713435986,"762/768",2
"R-HSA-9634600","Regulation of glycolysis by fructose 2,6-bisphosphate metabolism","2/349","12/11146",0.166666666666667,5.32282712511939,2.693606067659,0.0524481550646749,0.296789956834232,0.259392713435986,"5207/5567",2
"R-HSA-8957322","Metabolism of steroids","9/349","154/11146",0.0584415584415584,1.86644587504186,1.94654585206147,0.0528916496643089,0.296942883548443,0.259526370503695,"32/441282/1645/6718/1591/2172/3290/5443/866",9
